Country,avg_happiness_score,avg_economy,avg_family,avg_health,avg_freedom,avg_trust,avg_generosity,Cluster
Finland,7.619957135428571,1.3594273477142857,1.3968103757142858,0.8673498678571429,0.6372853709999999,0.421604115,0.19608331642857144,1
Denmark,7.570799954,1.401798791,1.4071272564285715,0.8669397272857142,0.640119517,0.4467329137142857,0.29216769785714286,1
Switzerland,7.526842823571428,1.473941971857143,1.3768664502857142,0.9283034962857143,0.6264521495714286,0.388537598,0.2657450045714286,1
Iceland,7.516214299857143,1.391587804,1.4548044991428573,0.9087950754285714,0.6357361975714285,0.14503819014285715,0.3929929212857143,1
Norway,7.512142870714285,1.5091586448571428,1.3940780087142857,0.8795340574285714,0.6519204958571428,0.3686934861428572,0.3117053318571429,1
Netherlands,7.419414296857143,1.4135729967142856,1.3272678797142856,0.874503067,0.6012687097142857,0.320805941,0.3877239141428572,1
Sweden,7.330357115571429,1.4028774994285713,1.3340314101428572,0.8920608027142857,0.6318859714285714,0.4110821571428571,0.31419816357142855,1
New Zealand,7.305942893428571,1.3185519947142856,1.3971233577142856,0.8930325721428571,0.6286717197142857,0.4151921397142857,0.39510733385714286,1
Canada,7.298299999285714,1.3841845827142858,1.3452072705714286,0.9033270852857143,0.6209712912857143,0.3165619102857143,0.3536455202857143,1
Australia,7.255257099714286,1.3911173382857143,1.371168317142857,0.9137506395714285,0.6134420821428571,0.3179800212857143,0.3851946947142857,1
Austria,7.181742855142857,1.4001418287142857,1.3313228411428573,0.8859045638571429,0.5897164382857143,0.23493664342857143,0.27607315514285713,1
Israel,7.1423714202857145,1.3015823011428571,1.2981209625714285,0.9013567064285715,0.4310282972857143,0.11761007857142858,0.296363493,4
Costa Rica,7.1173428392857145,1.0419119992857142,1.2738081802857144,0.8318392287142857,0.610594199,0.09782409728571428,0.17405421999999998,4
Luxembourg,7.0345000152857144,1.6394356638571428,1.3009617264285713,0.8948417399999999,0.5954707051428572,0.3438779847142857,0.22731212885714286,1
Ireland,7.000100024142857,1.4847090595714285,1.3982682211428572,0.8747619027142857,0.5792486115714286,0.3199130592857143,0.3535607597142857,1
United States,6.983514288857143,1.4552451605714285,1.2968053242857143,0.7943849484285714,0.5175741097142857,0.144357647,0.33222026285714285,1
Germany,6.982257165142857,1.3958425614285714,1.308453442142857,0.8689707904285714,0.5653165022857143,0.2772906042857143,0.2719952677142857,1
United Kingdom,6.968357208857143,1.3405564252857143,1.3370721504285714,0.8773394312857142,0.5177098132857143,0.2640985302857143,0.4052696571428571,1
Belgium,6.900642844571428,1.376547646857143,1.312020040857143,0.8751790025714286,0.5260880204285714,0.22642102614285714,0.182767071,1
Czech Republic,6.735557188857143,1.2750192437142858,1.3027902695714286,0.8192283504285715,0.49350153571428573,0.038436592857142855,0.07179752685714286,4
United Arab Emirates,6.724685694,1.6017456842857143,1.0657816035714285,0.7346846677142858,0.5738573387142857,0.24159186885714284,0.265112561,1
Mexico,6.629714317428571,1.0781701852857144,1.0673293798571428,0.7604928602857143,0.47464608014285714,0.12422539757142857,0.09959641685714285,4
Malta,6.577828559857143,1.2988590182857143,1.3474555127142858,0.8734780372857143,0.6069422975714286,0.15990430657142857,0.43168591514285715,1
Brazil,6.570657155714286,1.0209732975714285,1.2748600174285714,0.6774059165714286,0.4589266394285714,0.11792590928571428,0.13550349757142857,4
France,6.561399953571429,1.3442446872857143,1.304439432857143,0.9164171541428572,0.49885757385714286,0.19690652357142857,0.11261285857142857,4
Singapore,6.495442859714285,1.596466828,1.2242644675714285,1.0151066682857144,0.5809111107142857,0.48806286014285716,0.27297812671428573,1
Chile,6.478214262714285,1.1662324432857143,1.183378835,0.8274486474285715,0.405655358,0.08219104742857143,0.23926020314285715,4
Panama,6.453542882142857,1.1624294641428572,1.2561374065714286,0.7750946672857143,0.5528923734285714,0.06744920714285714,0.15812917814285715,4
Uruguay,6.432442884142858,1.130398593142857,1.291948429,0.7743679584285714,0.5848799034285714,0.19414384957142858,0.15788580285714285,4
Saudi Arabia,6.397214246571428,1.4238417267142858,1.1686925302857143,0.665983781,0.4626782918571429,0.21201065285714285,0.11352667114285714,4
Spain,6.378414252142857,1.299939019,1.3536328697142856,0.9468405261428571,0.4203892922857143,0.08326341085714285,0.16347986457142857,4
Guatemala,6.364700004,0.8045553795714285,1.0959431782857143,0.614833225,0.5717967628571429,0.08733051128571429,0.21915286542857143,4
Argentina,6.314385707285714,1.106520156,1.2867635482857143,0.7571786841428572,0.49613422157142856,0.064136421,0.085851076,4
Colombia,6.267914292428571,0.9882508621428571,1.244786271,0.6833440104285714,0.5059124934285715,0.04767244457142857,0.12566550957142858,4
Bahrain,6.206185722857143,1.3797292161428572,1.2045205958571428,0.7324413438571429,0.552402403,0.18849420385714286,0.22131602828571428,4
Thailand,6.202399941,1.0520140095714285,1.2665888532857144,0.7085349821428572,0.5781172194285714,0.029807228142857144,0.45858458914285716,4
Slovakia,6.164800017285715,1.2469816067142858,1.3412943471428571,0.7669840242857143,0.34668285628571427,0.020754613285714287,0.12951060785714286,4
El Salvador,6.147185680428572,0.8202807005714285,1.0449061005714286,0.6593026521428571,0.4626694925714286,0.10670018742857143,0.09526918357142858,4
Italy,6.140342910714286,1.3126503847142856,1.2800941831428572,0.9234470391428572,0.27419804085714283,0.03253481271428572,0.16658940842857142,4
